row_index,split,accession_id
0,train,ZS0025103467
1,train,ZS0025103467
2,train,ZS0025294556
7,train,ZS0025660046
8,train,ZS0025810559
9,train,ZS0025833020
10,train,ZS0025863719
11,train,ZS0025903992
12,train,ZS0025944912
15,train,ZS0025987039
17,train,ZS0026009966
18,train,ZS0026009966
19,train,ZS0026027387
20,train,ZS0026040363
21,train,ZS0026126056
22,train,ZS0026151238
23,train,ZS0026187035
24,train,ZS0026225884
25,train,ZS0026234405
26,train,ZS0026234405
27,train,ZS0026306070
28,train,ZS0026306197
29,train,ZS0026306197
30,train,ZS0026306197
36,train,ZS0026332607
37,train,ZS0026332607
40,train,ZS0026355217
41,train,ZS0026355217
42,train,ZS0026355217
43,train,ZS0026433050
44,train,ZS0026433050
46,train,ZS0026490599
47,train,ZS0026490599
48,train,ZS0026490599
53,train,ZS0026545469
58,train,ZS0026621459
59,train,ZS0026621459
60,train,ZS0026621459
61,train,ZS0026626542
62,train,ZS0026626542
63,train,ZS0026635039
64,train,ZS0026643325
65,train,ZS0026680729
66,train,ZS0026685617
67,train,ZS0026688475
75,train,ZS0026786570
76,train,ZS0026845742
77,train,ZS0026845742
82,train,ZS0026911346
84,train,ZS0026933597
88,train,ZS0026953761
89,train,ZS0026953761
92,train,ZS0026963345
93,train,ZS0026963345
94,train,ZS0026963345
96,train,ZS0026975313
97,train,ZS0026975313
98,train,ZS0026981562
102,train,ZS0027000363
103,train,ZS0027000363
104,train,ZS0027000363
108,train,ZS0027002577
110,train,ZS0027007243
111,train,ZS0027007243
112,train,ZS0027014496
113,train,ZS0027014496
114,train,ZS0027014496
120,train,ZS0027080440
121,train,ZS0027092660
126,train,ZS0027137555
128,train,ZS0027157196
131,train,ZS0027165669
136,train,ZS0027228948
137,train,ZS0027257819
142,train,ZS0027283260
143,train,ZS0027283260
144,train,ZS0027288355
146,train,ZS0027330220
147,train,ZS0027330220
150,train,ZS0027333747
151,train,ZS0027333747
152,train,ZS0027333804
153,train,ZS0027356994
157,train,ZS0027372446_1
158,train,ZS0027372446_1
160,train,ZS0027411873
161,train,ZS0027411873
162,train,ZS0027411873
163,train,ZS0027423062
164,train,ZS0027423062
165,train,ZS0027431610_1
167,train,ZS0027441667
168,train,ZS0027441667
169,train,ZS0027441667
170,train,ZS0027456789
171,train,ZS0027456789
172,train,ZS0027463648
173,train,ZS0027480292
177,train,ZS0027508684
178,train,ZS0027508684
179,train,ZS0027508684
180,train,ZS0027508684
184,train,ZS0027594868
185,train,ZS0027594868
186,train,ZS0027597932
189,train,ZS0027614527_1
190,train,ZS0027614527_1
191,train,ZS0027614527_1
193,train,ZS0027681242_2
194,train,ZS0027693661
195,train,ZS0027693661
196,train,ZS0027693661
197,train,ZS0027716052
198,train,ZS0027716052
199,train,ZS0027719495
200,train,ZS0027719495
204,train,ZS0027746701
205,train,ZS0027784131
207,train,ZS0027816124
208,train,ZS0027816124
