feature,mean_abs_shap
stenosis_percent,0.45249551650179654
mean_stenosis_per_patient,0.2474655650782654
followup_hdl_cholesterol,0.2055349266946478
minimum_luminal_area_mm3,0.1436265519305873
baseline_wbc,0.14331709450118202
low_attenuation_volume_ratio,0.14296220645143154
vessel_volume_mm3,0.12742610037850582
ffrct_value,0.12701898966381034
cta_admission_number,0.1231008713982094
std_hu,0.12261461801382925
baseline_uric_acid,0.12040054264134002
baseline_total_cholesterol,0.12030699677519334
contact_volume_mm3,0.11592759297037356
calcified_volume_ratio,0.11463928913150119
lumen_volume_mm3,0.1128253610922936
low_attenuation_volume_mm3,0.10427131307470273
calcified_volume_mm3,0.08878648999751149
baseline_triglycerides,0.08239082348462382
baseline_nt_pro_bnp,0.08188862176376173
baseline_hba1c,0.06644538976266953
