feature,mean_abs_shap
stenosis_percent,0.22988487086948972
mean_stenosis_per_patient,0.18303367968406672
baseline_wbc,0.10245040796299011
low_attenuation_volume_ratio,0.10121484342057278
baseline_uric_acid,0.07366939707961796
ffrct_value,0.07262017071194543
cta_admission_number,0.06990517259616856
baseline_crp,0.06418864985644425
low_attenuation_volume_mm3,0.062249696848271974
followup_hdl_cholesterol,0.05994876772960373
minimum_luminal_area_mm3,0.055653769052654865
baseline_nt_pro_bnp,0.05553248346742742
calcified_volume_ratio,0.05190052734452926
baseline_ck,0.050665036613407065
lumen_volume_mm3,0.04969033128317799
maximum_diameter_stenosis_percent,0.04580447602662406
contact_volume_mm3,0.04517374906986516
baseline_triglycerides,0.04449883370731137
baseline_total_cholesterol,0.04039001095901397
std_hu,0.03700570416667382
