feature,mean_abs_shap
stenosis_percent,0.022076773038174142
maximum_area_stenosis_percent,0.014322158040840872
maximum_diameter_stenosis_percent,0.013861361298184311
baseline_crp,0.011210170934815047
lesion_stenosis_grade,0.011086319665000375
minimum_luminal_area_mm3,0.010151342902599392
baseline_wbc,0.008538421068211385
fibrotic_volume_ratio,0.008377919440300233
eccentricity_index,0.008150640461393915
ffrct_value,0.0074221914539175215
baseline_triglycerides,0.007380033489261603
std_hu,0.0069531889800862655
baseline_total_cholesterol,0.006949988227571769
non_calcified_plaque_burden,0.006868086008036905
contact_volume_mm3,0.006831289118683283
mean_hu,0.006666148759224937
lumen_volume_mm3,0.006481214652419895
whole_lesion_plaque_burden,0.006457691680717185
lesion_range_mm,0.006213357407242388
calcified_plaque_burden,0.00612868703533307
